389	479	569	587	659	677	839	857	
929	947	983	1289	1487	1559	1667	1847	
1973	2099	2297	2459	2477	2549	2657	2693	
2729	2819	2837	2909	2927	2963	3089	3359	
3449	3467	3539	3557	3593	3719	3863	3881	
3917	4079	4259	4349	4457	4493	4547	4583	
4637	4673	4691	4817	4871	4943	5087	5393	
5483	5519	5573	5591	5717	5807	5843	5861	
6257	6329	6473	6491	6563	6581	6653	6761	
6833	7193	7229	7247	7283	7481	7517	7607	
7643	7823	7841	8039	8093	8147	8219	8237	
8273	8291	8363	8543	8741	8831	9029	9137	
9173	9209	9227	9281	9371	9461	9533	9551	
9623	9803	10289	10487	10559	10667	10739	10847	
10883	10937	10973	11279	11369	11549	11657	11783	
11909	11927	11981	12197	12269	12377	12539	12647	
12791	12809	12917	12953	13187	13259	13367	13457	
13619	13691	13709	13763	13781	13907	14087	14159	
14177	14249	14447	14519	14537	14591	14627	14717	
14753	14771	14843	14951	15077	15149	15329	15383	
15473	15527	15581	15671	15761	15923	16067	16139	
16193	16229	16319	16427	16481	16553	16607	16661	
16823	16931	17093	17183	17291	17327	17417	17471	
17903	17921	18047	18119	18191	18353	18371	18443	
18461	18713	18731	18803	18911	19037	19073	19163	
19181	19433	19541	20297	20369	20477	20549	20639	
20693	20747	20873	20963	20981	21089	21179	21269	
21377	21467	21557	21647	21683	21737	21773	21863	
21881	22079	22259	22277	22349	22367	22619	22637	
22691	22709	22727	22817	22853	22871	22907	22943	
22961	23087	23159	23339	23357	23447	23537	23609	
23627	23663	23753	24077	24239	24329	24419	24473	
24509	24527	24671	24851	24923	25229	25247	25373	
25391	25409	25463	25643	25733	25841	25913	25931	
26183	26237	26309	26417	26561	26633	26723	26813	
26903	26921	27191	27281	27407	27551	27803	28019	
28109	28163	28181	28307	28433	28541	28631	28703	
28901	29009	29027	29063	29153	29207	29243	29333	
29423	29531	30089	30197	30269	30449	30467	30539	
30557	30593	30773	30809	30881	30971	31079	31259	
31277	31547	31583	31727	31817	31907	32069	32159	
32429	32537	32573	32609	32717	32771	32843	32933	
33149	33329	33347	33563	33581	33617	33851	33923	
33941	34157	34283	34319	34337	34607	34841	34913	
35129	35291	35327	35363	35381	35507	35543	35831	
36083	36137	36191	36209	36263	36353	36551	36713	
36821	37019	37181	37217	37253	37307	37361	37811	
38153	38261	38333	38351	38603	38711	39107	39161	
39233	39251	39323	39341	39503	39521	40169	40277	
40493	40529	40583	40637	40709	40763	40853	40961	
41177	41357	41519	41609	41627	41681	41771	41843	
42239	42257	42293	42437	42473	42491	42509	42743	
42923	43049	43067	43283	43319	43391	43427	43481	
43517	43607	43661	43913	44129	44273	44381	44417	
44453	44507	44543	44633	44651	44741	45083	45119	
45137	45191	45263	45281	45317	45533	45641	45821	
46073	46091	46181	46271	46307	46451	46523	46703	
46811	46901	47207	47351	47441	47513	47711	48017	
48341	48413	48611	49043	49223	49331	50069	50087	
50159	50177	50591	50627	50753	50951	51059	51239	
51257	51329	51347	51383	51419	51437	51473	51563	
51581	51941	52067	52391	52517	52553	52571	52733	
53093	53129	53147	53309	53327	53381	53453	53507	
53633	53813	53831	54083	54371	54443	54623	54713	
55073	55109	55127	55163	55217	55343	55541	55631	
55721	55901	56009	56081	56171	56207	56333	56531	
56711	57107	57143	57251	57413	57503	58043	58061	
58151	58313	58403	58511	58601	59051	59123	59141	
60077	60149	60167	60257	60293	60383	60509	60527	
60617	60761	60923	61283	61409	61463	61553	61643	
61751	62039	62057	62129	62219	62273	62327	62417	
62507	62633	62723	62903	62921	63029	63281	63317	
63353	63443	63533	63803	64019	64037	64091	64109	
64217	64271	64433	64451	64613	64811	64901	65027	
65063	65171	65423	66071	66107	66161	66413	66431	
66701	67043	67061	67421	67511	67601	68141	68213	
68501	69203	69221	69401	70067	70139	70157	70229	
70373	70481	70571	70607	70823	70841	70913	71039	
71129	71147	71237	71327	71363	71453	71471	71633	
71741	72047	72173	72227	72353	72461	72533	72551	
72623	72911	73019	73037	73091	73127	73181	73361	
73433	73523	73613	73721	74027	74441	74531	75017	
